measurement_pk,condition_pk,condition_label,setup_date,experiment_location
TRAMEA000096,TRACON000001,test,,
TRAMEA000096,TRACON000002,maintenance,,
TRAMEA000097,TRACON000001,test,,
TRAMEA000097,TRACON000002,maintenance,,
TRAMEA000098,TRACON000001,test,,
TRAMEA000098,TRACON000002,maintenance,,
TRAMEA000099,TRACON000001,test,,
TRAMEA000099,TRACON000002,maintenance,,
TRAMEA000100,TRACON000001,test,,
TRAMEA000100,TRACON000002,maintenance,,
TRAMEA000101,TRACON000001,test,,
TRAMEA000101,TRACON000002,maintenance,,
TRAMEA000102,TRACON000001,test,,
TRAMEA000102,TRACON000002,maintenance,,
TRAMEA000103,TRACON000001,test,,
TRAMEA000103,TRACON000002,maintenance,,
TRAMEA000104,TRACON000001,test,,
TRAMEA000104,TRACON000002,maintenance,,
TRAMEA000105,TRACON000001,test,,
TRAMEA000105,TRACON000002,maintenance,,
TRAMEA000106,TRACON000001,test,,
TRAMEA000106,TRACON000002,maintenance,,
TRAMEA000107,TRACON000001,test,,
TRAMEA000107,TRACON000002,maintenance,,
TRAMEA000108,TRACON000001,test,,
TRAMEA000108,TRACON000002,maintenance,,
TRAMEA000109,TRACON000001,test,,
TRAMEA000109,TRACON000002,maintenance,,
TRAMEA000110,TRACON000001,test,,
TRAMEA000110,TRACON000002,maintenance,,
TRAMEA000111,TRACON000001,test,,
TRAMEA000111,TRACON000002,maintenance,,
TRAMEA000112,TRACON000001,test,,
TRAMEA000112,TRACON000002,maintenance,,
TRAMEA000113,TRACON000001,test,,
TRAMEA000113,TRACON000002,maintenance,,
TRAMEA000114,TRACON000001,test,,
TRAMEA000114,TRACON000002,maintenance,,
TRAMEA000115,TRACON000001,test,,
TRAMEA000115,TRACON000002,maintenance,,
TRAMEA000116,TRACON000001,test,,
TRAMEA000116,TRACON000002,maintenance,,
TRAMEA000117,TRACON000001,test,,
TRAMEA000117,TRACON000002,maintenance,,
TRAMEA000118,TRACON000001,test,,
TRAMEA000118,TRACON000002,maintenance,,
TRAMEA000119,TRACON000001,test,,
TRAMEA000119,TRACON000002,maintenance,,
TRAMEA000120,TRACON000001,test,,
TRAMEA000120,TRACON000002,maintenance,,
TRAMEA000121,TRACON000001,test,,
TRAMEA000121,TRACON000002,maintenance,,
TRAMEA000122,TRACON000001,test,,
TRAMEA000122,TRACON000002,maintenance,,
TRAMEA000123,TRACON000001,test,,
TRAMEA000123,TRACON000002,maintenance,,
TRAMEA000124,TRACON000001,test,,
TRAMEA000124,TRACON000002,maintenance,,
TRAMEA000125,TRACON000001,test,,
TRAMEA000125,TRACON000002,maintenance,,
TRAMEA000126,TRACON000001,test,,
TRAMEA000126,TRACON000002,maintenance,,
TRAMEA000127,TRACON000001,test,,
TRAMEA000127,TRACON000002,maintenance,,
TRAMEA000128,TRACON000001,test,,
TRAMEA000128,TRACON000002,maintenance,,
TRAMEA000129,TRACON000001,test,,
TRAMEA000129,TRACON000002,maintenance,,
TRAMEA000130,TRACON000001,test,,
TRAMEA000130,TRACON000002,maintenance,,
TRAMEA000131,TRACON000001,test,,
TRAMEA000131,TRACON000002,maintenance,,
TRAMEA000132,TRACON000001,test,,
TRAMEA000132,TRACON000002,maintenance,,
TRAMEA000133,TRACON000001,test,,
TRAMEA000133,TRACON000002,maintenance,,
TRAMEA000134,TRACON000001,test,,
TRAMEA000134,TRACON000002,maintenance,,
TRAMEA000135,TRACON000001,test,,
TRAMEA000135,TRACON000002,maintenance,,
TRAMEA000136,TRACON000001,test,,
TRAMEA000136,TRACON000002,maintenance,,
TRAMEA000137,TRACON000001,test,,
TRAMEA000137,TRACON000002,maintenance,,
TRAMEA000138,TRACON000001,test,,
TRAMEA000138,TRACON000002,maintenance,,
TRAMEA000139,TRACON000001,test,,
TRAMEA000139,TRACON000002,maintenance,,
TRAMEA000140,TRACON000001,test,,
TRAMEA000140,TRACON000002,maintenance,,
TRAMEA000141,TRACON000001,test,,
TRAMEA000141,TRACON000002,maintenance,,
TRAMEA000142,TRACON000001,test,,
TRAMEA000142,TRACON000002,maintenance,,
TRAMEA000143,TRACON000001,test,,
TRAMEA000143,TRACON000002,maintenance,,
TRAMEA000144,TRACON000001,test,,
TRAMEA000144,TRACON000002,maintenance,,
TRAMEA000145,TRACON000001,test,,
TRAMEA000145,TRACON000002,maintenance,,
TRAMEA000146,TRACON000001,test,,
TRAMEA000146,TRACON000002,maintenance,,
TRAMEA000147,TRACON000001,test,,
TRAMEA000147,TRACON000002,maintenance,,
TRAMEA000148,TRACON000001,test,,
TRAMEA000148,TRACON000002,maintenance,,
TRAMEA000149,TRACON000001,test,,
TRAMEA000149,TRACON000002,maintenance,,
TRAMEA000150,TRACON000001,test,,
TRAMEA000150,TRACON000002,maintenance,,
TRAMEA000151,TRACON000001,test,,
TRAMEA000151,TRACON000002,maintenance,,
TRAMEA000152,TRACON000001,test,,
TRAMEA000152,TRACON000002,maintenance,,
TRAMEA000153,TRACON000001,test,,
TRAMEA000153,TRACON000002,maintenance,,
TRAMEA000154,TRACON000001,test,,
TRAMEA000154,TRACON000002,maintenance,,
TRAMEA000155,TRACON000001,test,,
TRAMEA000155,TRACON000002,maintenance,,
TRAMEA000156,TRACON000001,test,,
TRAMEA000156,TRACON000002,maintenance,,
TRAMEA000157,TRACON000001,test,,
TRAMEA000157,TRACON000002,maintenance,,
TRAMEA000158,TRACON000001,test,,
TRAMEA000158,TRACON000002,maintenance,,
TRAMEA000159,TRACON000001,test,,
TRAMEA000159,TRACON000002,maintenance,,
TRAMEA000160,TRACON000001,test,,
TRAMEA000160,TRACON000002,maintenance,,
TRAMEA000161,TRACON000001,test,,
TRAMEA000161,TRACON000002,maintenance,,
TRAMEA000162,TRACON000001,test,,
TRAMEA000162,TRACON000002,maintenance,,
TRAMEA000163,TRACON000001,test,,
TRAMEA000163,TRACON000002,maintenance,,
TRAMEA000164,TRACON000001,test,,
TRAMEA000164,TRACON000002,maintenance,,
TRAMEA000165,TRACON000001,test,,
TRAMEA000165,TRACON000002,maintenance,,
TRAMEA000166,TRACON000001,test,,
TRAMEA000166,TRACON000002,maintenance,,
TRAMEA000167,TRACON000001,test,,
TRAMEA000167,TRACON000002,maintenance,,
TRAMEA000168,TRACON000001,test,,
TRAMEA000168,TRACON000002,maintenance,,
TRAMEA000169,TRACON000001,test,,
TRAMEA000169,TRACON000002,maintenance,,
TRAMEA000170,TRACON000001,test,,
TRAMEA000170,TRACON000002,maintenance,,
TRAMEA000171,TRACON000001,test,,
TRAMEA000171,TRACON000002,maintenance,,
TRAMEA000172,TRACON000001,test,,
TRAMEA000172,TRACON000002,maintenance,,
TRAMEA000173,TRACON000001,test,,
TRAMEA000173,TRACON000002,maintenance,,
TRAMEA000174,TRACON000001,test,,
TRAMEA000174,TRACON000002,maintenance,,
TRAMEA000175,TRACON000001,test,,
TRAMEA000175,TRACON000002,maintenance,,
TRAMEA000176,TRACON000001,test,,
TRAMEA000176,TRACON000002,maintenance,,
TRAMEA000177,TRACON000001,test,,
TRAMEA000177,TRACON000002,maintenance,,
TRAMEA000178,TRACON000001,test,,
TRAMEA000178,TRACON000002,maintenance,,
TRAMEA000179,TRACON000001,test,,
TRAMEA000179,TRACON000002,maintenance,,
TRAMEA000180,TRACON000001,test,,
TRAMEA000180,TRACON000002,maintenance,,
TRAMEA000181,TRACON000001,test,,
TRAMEA000181,TRACON000002,maintenance,,
